Date,Type of Read,Avg Temp,Number of Days,Units Used, Yearly Usage, Bill Amount, Cost per Day
12/29/2022,AMR ADJUSTED READING,34.90,31,100.00,20 %,$146.18,$4.72
11/28/2022,AMR ADJUSTED READING,46.80,33,55.00,20 %,$97.93,$2.97
10/26/2022,AMR ADJUSTED READING,54.10,29,24.00,120 %,$54.13,$1.87
9/27/2022,AMR ADJUSTED READING,70.00,32,13.00,0 %,$47.78,$1.49
8/26/2022,AMR ADJUSTED READING,73.10,29,12.00,0 %,$45.60,$1.57
7/28/2022,AMR ADJUSTED READING,76.20,30,13.00,0 %,$46.29,$1.54
6/28/2022,AMR ADJUSTED READING,73.20,32,12.00,0 %,$45.54,$1.42
5/27/2022,AMR ADJUSTED READING,64.00,29,15.00,0 %,$47.63,$1.64
4/28/2022,AMR ADJUSTED READING,50.40,30,44.00,0 %,$65.99,$2.20
3/29/2022,AMR ADJUSTED READING,44.30,29,64.00,0 %,$77.94,$2.69
2/28/2022,AMR ADJUSTED READING,31.10,31,111.00,0 %,$108.24,$3.49
1/28/2022,AMR ADJUSTED READING,28.80,30,121.00,0 %,$114.69,$3.82
