Account Number,106-041-220-0-1
Download Date,2023-09-11

Date,Days per Billing Period,Bill Due Date,Default Tariff,Tariff Description,Your Usage (KWH),Average KWHs per Day,Amount,Average Bill per Day
8/15/2023,29,9/7/2023,820,CHOICE - REGULAR RESIDENTIAL,"677","23",$64.69,$2.2306896551724137931034482759
7/17/2023,32,8/9/2023,820,CHOICE - REGULAR RESIDENTIAL,"720","22",$67.80,$2.11875
6/15/2023,30,7/10/2023,820,CHOICE - REGULAR RESIDENTIAL,"616","21",$59.38,$1.9793333333333333333333333333
5/16/2023,29,6/8/2023,820,CHOICE - REGULAR RESIDENTIAL,"525","18",$52.58,$1.8131034482758620689655172414
4/17/2023,32,5/10/2023,820,CHOICE - REGULAR RESIDENTIAL,"660","21",$62.72,$1.96
3/16/2023,29,4/11/2023,820,CHOICE - REGULAR RESIDENTIAL,"554","19",$54.09,$1.865172413793103448275862069
2/15/2023,29,3/10/2023,820,CHOICE - REGULAR RESIDENTIAL,"533","18",$51.90,$1.7896551724137931034482758621
1/17/2023,34,2/10/2023,820,CHOICE - REGULAR RESIDENTIAL,"619","18",$58.15,$1.7102941176470588235294117647
12/14/2022,33,1/9/2023,820,CHOICE - REGULAR RESIDENTIAL,"632","19",$57.59,$1.7451515151515151515151515152
11/11/2022,29,12/6/2022,820,CHOICE - REGULAR RESIDENTIAL,"516","18",$51.08,$1.7613793103448275862068965517
10/13/2022,29,11/7/2022,820,CHOICE - REGULAR RESIDENTIAL,"481","17",$47.00,$1.6206896551724137931034482759
9/14/2022,30,10/10/2022,820,CHOICE - REGULAR RESIDENTIAL,"669","22",$60.34,$2.0113333333333333333333333333
8/15/2022,31,9/8/2022,820,CHOICE - REGULAR RESIDENTIAL,"786","25",$67.19,$2.1674193548387096774193548387
7/15/2022,30,8/9/2022,820,CHOICE - REGULAR RESIDENTIAL,"893","30",$75.83,$2.5276666666666666666666666667
6/15/2022,30,7/12/2022,820,CHOICE - REGULAR RESIDENTIAL,"597","20",$55.86,$1.862
5/16/2022,32,6/8/2022,820,CHOICE - REGULAR RESIDENTIAL,"751","23",$66.22,$2.069375
4/14/2022,29,5/10/2022,820,CHOICE - REGULAR RESIDENTIAL,"485","17",$47.65,$1.6431034482758620689655172414
3/16/2022,29,4/8/2022,820,CHOICE - REGULAR RESIDENTIAL,"644","22",$57.04,$1.9668965517241379310344827586
2/15/2022,29,3/10/2022,820,CHOICE - REGULAR RESIDENTIAL,"666","23",$58.52,$2.0179310344827586206896551724
1/17/2022,34,2/9/2022,820,CHOICE - REGULAR RESIDENTIAL,"671","20",$58.86,$1.7311764705882352941176470588
12/14/2021,33,1/10/2022,820,CHOICE - REGULAR RESIDENTIAL,"696","21",$61.28,$1.856969696969696969696969697
11/11/2021,29,12/1/2021,820,CHOICE - REGULAR RESIDENTIAL,"530","18",$49.39,$1.7031034482758620689655172414
10/13/2021,29,11/1/2021,820,CHOICE - REGULAR RESIDENTIAL,"632","22",$55.81,$1.9244827586206896551724137931
9/14/2021,32,10/1/2021,820,CHOICE - REGULAR RESIDENTIAL,"842","26",$69.40,$2.16875
8/13/2021,29,9/1/2021,820,CHOICE - REGULAR RESIDENTIAL,"644","22",$55.82,$1.924827586206896551724137931
7/15/2021,30,8/3/2021,820,CHOICE - REGULAR RESIDENTIAL,"717","24",$60.46,$2.0153333333333333333333333333
6/15/2021,32,7/2/2021,820,CHOICE - REGULAR RESIDENTIAL,"667","21",$58.65,$1.8328125
5/14/2021,29,6/2/2021,820,CHOICE - REGULAR RESIDENTIAL,"572","20",$52.01,$1.7934482758620689655172413793
4/15/2021,30,5/4/2021,820,CHOICE - REGULAR RESIDENTIAL,"595","20",$53.46,$1.782
3/16/2021,29,4/5/2021,820,CHOICE - REGULAR RESIDENTIAL,"561","19",$48.77,$1.6817241379310344827586206897
2/15/2021,31,3/4/2021,820,CHOICE - REGULAR RESIDENTIAL,"704","23",$56.90,$1.8354838709677419354838709677
1/15/2021,32,2/3/2021,820,CHOICE - REGULAR RESIDENTIAL,"684","21",$55.70,$1.740625
12/14/2020,33,12/31/2020,820,CHOICE - REGULAR RESIDENTIAL,"818","25",$66.23,$2.006969696969696969696969697
11/11/2020,29,11/30/2020,820,CHOICE - REGULAR RESIDENTIAL,"630","22",$53.75,$1.8534482758620689655172413793
10/13/2020,29,10/30/2020,820,CHOICE - REGULAR RESIDENTIAL,"555","19",$49.00,$1.6896551724137931034482758621
9/14/2020,32,10/2/2020,820,CHOICE - REGULAR RESIDENTIAL,"823","26",$65.94,$2.060625
Total:,,,,,"23,365",,$2087.06
